timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1497156390745,670,Login,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9781,239,1,1,670,0,131
1497156391416,138,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9206,240,1,1,137,0,0
1497156391555,141,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9206,240,1,1,141,0,0
1497156391697,141,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,141,0,0
1497156391839,137,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,137,0,0
1497156391977,140,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,137,0,0
1497156392118,139,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,137,0,0
1497156392258,145,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,145,0,0
1497156392404,151,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,151,0,0
1497156392557,138,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,137,0,0
1497156392696,140,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,140,0,0
1497156392837,276,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,274,0,131
1497156393114,139,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9206,240,1,1,139,0,0
1497156393254,139,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,139,0,0
1497156393394,146,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,146,0,0
1497156393541,139,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,139,0,0
1497156393681,140,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,140,0,0
1497156393822,138,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,138,0,0
1497156393961,144,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,144,0,0
1497156394106,140,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,140,0,0
1497156394247,146,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,146,0,0
1497156394394,138,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,138,0,0
1497156394533,139,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9206,240,1,1,139,0,0
1497156394673,141,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,141,0,0
1497156394815,141,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,140,0,0
1497156394957,278,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,278,0,137
1497156395236,137,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,137,0,0
1497156395374,145,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,144,0,0
1497156395519,141,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,141,0,0
1497156395661,138,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,138,0,0
1497156395800,138,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9206,240,1,1,138,0,0
1497156395939,137,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,136,0,0
1497156396076,143,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,143,0,0
1497156396220,140,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,140,0,0
1497156396361,155,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9206,240,1,1,154,0,0
1497156396516,142,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,141,0,0
1497156396658,141,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9206,240,1,1,141,0,0
1497156396799,138,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,138,0,0
1497156396938,139,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,139,0,0
1497156397078,286,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9206,240,1,1,286,0,138
1497156397365,151,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9206,240,1,1,151,0,0
1497156397517,145,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,145,0,0
1497156397663,144,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,144,0,0
1497156397808,143,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,143,0,0
1497156397952,143,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9193,239,1,1,143,0,0
1497156398096,140,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9089,231,1,1,140,0,0
1497156398237,142,Search,200,,Single-Instance_HTTP_1_thread 1-1,text,true,,9206,240,1,1,142,0,0
